hotel_id,hotel_name,hotel_img
63,星輝賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/307_1634879941_1ba49f5ac6fb32e6cac8da5cf0f43e4e.jpg
63,星輝賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/307_1634879957_c564322ef30b520341ec6961547b49a2.jpeg
63,星輝賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/307_1634880005_682dff06b08310fab3601336b8210f09.jpg
63,星輝賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/307_1634880076_90a219d9b358d3968f7cba9e33af8d97.jpg
64,蟠龍別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634886047_2c731c3dd0592a8a3d256c9300b6172b.jpeg
64,蟠龍別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/309_1634886061_595d03497685460dc5cff1f93dc3a709.jpeg
64,蟠龍別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/309_1634886074_806758747f786a381c7ab14232359868.jpeg
64,蟠龍別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/309_1634886085_78f32b3ec436a0550fa7ef629389470b.jpeg
64,蟠龍別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/309_1634886095_de11009a00897ba9e8aad82780da6d40.jpeg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634886875_9e30862c63095ab66cab8b2dd64a6dcf.jpg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/310_1634886887_58b5b72dfddff44768b1f44e5c4f711a.jpg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/310_1634886893_779f711afe77915d2b32ee6a5e8d67f1.jpg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/310_1634886899_274e5a48306279379cdabfa29a8f0c34.jpg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/310_1634886904_9517efc48b09ed31d7f492a8a9bb37c3.jpg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/310_1634886910_07e371d4dd96762ea0499bb9a7026ab8.jpg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/310_1634886915_6b555eed42b40710af571d42e72c0e22.jpg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/310_1634886922_de93584b5354c3a78b319ba5e31a8031.jpg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/310_1634886931_4664d44b7c4313e60ac95b2976f5f0f1.jpg
65,西班牙賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/310_1634886936_9e0b1d5645e722e218e7f8ecd302e460.jpg
66,維珍尼亞賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/virginia_hotel.jpg
66,維珍尼亞賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/virginia_2.jpg
66,維珍尼亞賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/virginia_3.jpg
