2022-03-25,567,30,20
2022-03-26,521,68,8
2022-03-27,966,30,10
2022-03-28,408,55,10
2022-03-29,412,41,4
2022-03-30,553,24,9
2022-03-31,799,41,10
2022-04-01,2210,61,42
2022-04-02,1530,43,21
2022-04-03,1358,58,14
2022-04-04,1136,68,20
2022-04-05,1477,68,19
2022-04-06,1465,79,21
2022-04-07,1316,102,22
2022-04-08,1619,89,25
2022-04-09,1910,61,25
2022-04-10,2266,72,23
2022-04-11,1830,67,28
2022-04-12,1659,58,21
2022-04-13,2546,54,31
2022-04-14,1579,52,25
2022-04-15,1901,76,17
2022-04-16,2128,70,11
2022-04-17,2153,67,30
2022-04-18,2194,93,18
2022-04-19,2371,81,11
2022-04-20,2789,82,29
2022-04-21,2566,83,25
2022-04-22,2649,100,26
2022-04-23,3229,131,42
2022-04-24,3237,135,23
2022-04-25,1823,145,19
2022-04-26,2024,105,16
2022-04-27,2542,115,29
2022-04-28,3158,122,23
2022-04-29,3276,123,41
2022-04-30,4560,178,46
2022-05-01,4554,331,66
2022-05-02,4095,312,54
2022-05-03,2299,132,84
2022-05-04,2368,106,98
2022-05-05,2494,137,68
2022-05-06,2741,143,129
2022-05-07,3712,186,120
2022-05-08,5228,316,106
2022-05-09,3792,265,86
2022-05-10,2976,207,73
2022-05-11,2491,203,148
2022-05-12,2382,241,144
2022-05-13,2597,211,173
2022-05-14,3131,291,135
2022-05-15,5051,423,163
2022-05-16,2936,309,141
2022-05-17,2660,376,94
2022-05-18,2658,499,118
2022-05-19,2984,731,162
2022-05-20,2828,609,147
2022-05-21,2912,534,128
2022-05-22,3944,646,149
2022-05-23,2786,600,169
2022-05-24,2266,464,78
2022-05-25,2705,1074,143
2022-05-26,2805,574,182
2022-05-27,2824,863,155
2022-05-28,2869,595,141
2022-05-29,4325,1282,268
2022-05-30,2223,650,79
2022-05-31,2486,600,92
2022-06-01,3356,1150,186
2022-06-02,2919,926,169
2022-06-03,2709,1077,180
2022-06-04,3155,736,172
2022-06-05,4420,1445,225
2022-06-06,2702,1050,150
2022-06-07,2398,755,110
2022-06-08,3584,1204,165
2022-06-09,2390,836,177
2022-06-10,3493,1371,207
2022-06-11,4088,1195,197
2022-06-12,4266,1225,214
2022-06-13,2173,939,128
2022-06-14,2606,920,146
2022-06-15,2912,1541,189
2022-06-16,2879,1181,190
2022-06-17,3381,1684,191
2022-06-18,3746,1233,198
2022-06-19,3888,1538,183
2022-06-20,2642,1233,183
2022-06-21,3086,1075,231
2022-06-22,2788,1208,151
2022-06-23,3564,1132,215
2022-06-24,3351,1320,200
2022-06-25,3723,1278,177
2022-06-26,4291,1366,184
2022-06-27,2670,1155,164
2022-06-28,3217,915,130
2022-06-29,2792,1265,158
2022-06-30,3361,1119,202
2022-07-01,3847,1308,213
2022-07-02,3643,1020,221
2022-07-03,5106,1071,252
2022-07-04,3183,1279,207
2022-07-05,3382,806,163
2022-07-06,3218,1318,225
2022-07-07,3060,775,162
2022-07-08,4183,1202,277
2022-07-09,3643,1287,327
2022-07-10,5812,1567,312
2022-07-11,3465,1339,246
2022-07-12,3918,1282,246
2022-07-13,3295,1450,235
2022-07-14,3209,1109,233
2022-07-15,4209,1650,317
2022-07-16,3588,1337,281
2022-07-17,5501,1338,272
2022-07-18,3608,1458,210
2022-07-19,3547,1237,242
2022-07-20,3792,1456,256
2022-07-21,3426,1177,208
2022-07-22,4242,1310,260
2022-07-23,4033,1171,221
2022-07-24,6311,1358,303
