,Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
22916,08-01-2023,Airport,Arrival,23121,3019,4135,30275
22918,08-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22920,08-01-2023,Hung Hom,Arrival,0,0,0,0
22922,08-01-2023,Lo Wu,Arrival,0,0,0,0
22924,08-01-2023,Lok Ma Chau Spur Line,Arrival,4593,934,153,5680
22926,08-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22928,08-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,4099,158,1064,5321
22930,08-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22932,08-01-2023,Man Kam To,Arrival,242,77,7,326
22934,08-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22936,08-01-2023,Shenzhen Bay,Arrival,2388,825,330,3543
22938,08-01-2023,China Ferry Terminal,Arrival,29,12,1,42
22940,08-01-2023,Harbour Control,Arrival,0,0,0,0
22942,08-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22944,08-01-2023,Macau Ferry Terminal,Arrival,691,21,199,911
22946,09-01-2023,Airport,Arrival,17190,3403,4203,24796
22948,09-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22950,09-01-2023,Hung Hom,Arrival,0,0,0,0
22952,09-01-2023,Lo Wu,Arrival,0,0,0,0
22954,09-01-2023,Lok Ma Chau Spur Line,Arrival,5584,712,159,6455
22956,09-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22958,09-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,3835,186,916,4937
22960,09-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22962,09-01-2023,Man Kam To,Arrival,363,53,11,427
22964,09-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22966,09-01-2023,Shenzhen Bay,Arrival,2408,561,296,3265
22968,09-01-2023,China Ferry Terminal,Arrival,3,8,2,13
22970,09-01-2023,Harbour Control,Arrival,0,0,0,0
22972,09-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22974,09-01-2023,Macau Ferry Terminal,Arrival,814,27,246,1087
22976,10-01-2023,Airport,Arrival,16424,3419,4169,24012
22978,10-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22980,10-01-2023,Hung Hom,Arrival,0,0,0,0
22982,10-01-2023,Lo Wu,Arrival,0,0,0,0
22984,10-01-2023,Lok Ma Chau Spur Line,Arrival,6841,893,176,7910
22986,10-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22988,10-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,4362,202,1053,5617
22990,10-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22992,10-01-2023,Man Kam To,Arrival,416,79,8,503
22994,10-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22996,10-01-2023,Shenzhen Bay,Arrival,2826,723,381,3930
22998,10-01-2023,China Ferry Terminal,Arrival,6,5,4,15
23000,10-01-2023,Harbour Control,Arrival,0,0,0,0
23002,10-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
23004,10-01-2023,Macau Ferry Terminal,Arrival,1154,49,272,1475
23006,11-01-2023,Airport,Arrival,15408,3777,4088,23273
23008,11-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
23010,11-01-2023,Hung Hom,Arrival,0,0,0,0
23012,11-01-2023,Lo Wu,Arrival,0,0,0,0
23014,11-01-2023,Lok Ma Chau Spur Line,Arrival,7260,1118,216,8594
23016,11-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
23018,11-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,4849,232,1110,6191
23020,11-01-2023,Lok Ma Chau,Arrival,0,0,0,0
23022,11-01-2023,Man Kam To,Arrival,433,79,18,530
23024,11-01-2023,Sha Tau Kok,Arrival,0,0,0,0
